Brief Description,Road,Project Year,City/Location,Length (miles),Functional Class,Improvement Type,AreaTypeFuncClass,Comments,xConstructionYear,State,County,Internal Project ID,GEOID,Area TypeCounty,TollType,Segment ID,Segment Description,Year of Observation,xMonth of Observation,Count,Count Units,xSource,Station Identifier,State,Traffic Forecast,Forecast Units,Forecast Year,Forecast Year Type,Year Forecast Produced,Forecasting Agency,Forecast Methodology,Post-processing Methodology,Post-processing Explanation,Count State,Opening Year,Opening Year Actual Count,PE
Add lanes and reconstruction Project on SR 35 (from Lion St (M.P. 24.033) to 0.66 Miles South of CR 466 (M.P. 27.239),SR 35 ,2006,Sumter,3.296,3,4,3,Urban Other Principal Arterial and Rural Principal Arterial within project limits,2006,12,Sumter,411257-3,12119,3,1,1,,2006,March,14700,AADT,72 Hour Classification Count,180002,FL,16500,AADT,2009,1,2006,5,5,1,,12,2009,14500,0.1212
Add lanes and reconstruction project on SR 35 from CR 466 (MP 27.989 to Marion County Line (M.P. 30.255),SR 35 ,2005,Sumter,2.266,3,4,3,Urban Other Principal Arterial and Rural Principal Arterial within project limits,2005,12,Sumter,411257-4,12119,3,1,1,SR 35,2005,May,10200,AADT,72 Hour Classification Count,180100,FL,12200,AADT,2010,1,2005,5,4,1,CFRPM II Model growth rate was used,12,2010,13900,-0.1393
SR 5 Bridge Replacement Project (Brevard County Line MP 0000 to North of Sabastian River Bridge (M.P. 0.150),SR 5 B,2003,Brevard ,0.15,3,1,3,,2003,12,Brevard ,411476-1,12127,3,1,1,SR 5,2003,October,24600,AADT,72 Hour Classification Count,880165,FL,29800,AADT,2010,1,2003,5,4,1,Growth rate was taken from CFRPM II model ,12,2010,20500,0.3121
SR 25 Resurfacing Project (south of lakeview street (MP 10/870) to SR 500 (MP 11.557),SR 25 ,2003,Lake ,0.687,3,1,3,,2003,12,Lake ,411603-1,12127,3,1,1,SR 25,2003,September,35000,AADT,72 Hour Classification Count,111012,FL,38800,AADT,2006,1,2003,5,4,1,Growth rate was taken from CFRPM II model ,12,2006,25000,0.3557
SR 25 Resurfacing Project on SR 25 from 0.021 Mi South of Citizens BLVD (MP 4.150) to SR 500 (MP 11.557),SR 25 ,2004,Lake ,7.407,3,1,3,,2004,12,Lake ,411603-1A,12127,3,1,1,US 441- 0.078 Mi. N of Water Oaks Blvd,2004,May,49900,AADT,72 Hour Classification Count,111012,FL,52600,AADT,2006,1,2004,5,4,1,Growth rate was taken from CFRPM II model ,12,2006,25000,0.5247
SR 25 Resurfacing Project on SR 25 from 0.021 Mi South of Citizens BLVD (MP 4.150) to SR 500 (MP 11.557),SR 25 ,2004,Lake ,7.407,3,1,3,,2004,12,Lake ,411603-1A,12127,3,1,2,US 27/441- 1.609 Mi. S of CR 466,2004,May,27800,AADT,72 Hour Classification Count,111021,FL,29300,AADT,2006,1,2004,5,4,1,Growth rate was taken from CFRPM II model ,12,2006,37500,-0.2799
SR 19 Resurfacing Project from Bay Street (MP 10.000) to CR 452 (MOP 1.563),SR 19 ,2006,Lake ,1.563,4,1,3,,2006,12,Lake ,411612-1,12127,3,1,1,,2006,March,15400,AADT,72 Hour Classification Count,115176,FL,15900,AADT,2008,1,2006,5,4,1,Growth rate (1.23%) was taken from CFRPM III model ,12,2008,15500,0.0252
"SR 40 Resurfacing Existing Lanes Project from from PC at Hugh Drive/River Drive (M.P. 6.261) to
Butler Street (M.P. 7.263).",SR 40 ,2003,Lake ,1.002,3,1,1,,2003,12,Lake ,411613-1,12127,3,1,1,SR 40 East of Deborah Drive,2003,April,9700,AADT,72 Hour Classification Count,110503,FL,10200,AADT,2006,1,2003,5,4,1,Lake County Model ,12,2006,7400,0.2745
"SR 40 Resurfacing Existing Lanes Project from Marion/Lake County Line (MP 0000) to 0.74 mil west of Butler Street (7.189)
Butler Street (M.P. 7.263).",SR 40 ,2003,Lake ,7.189,3,1,1,,2003,12,Lake ,411613-1A,12127,3,1,1,SR 40- 0.009 Mi. E. of Marion County,2003,October,4500,AADT,72 Hour Classification Count,110502,FL,5100,AADT,2006,1,2003,5,4,1,Growth rate (4.8%) was taken from CFRPM II mode,12,2006,5700,-0.1176
"SR 40 Resurfacing Existing Lanes Project from Marion/Lake County Line (MP 0000) to 0.74 mil west of Butler Street (7.189)
Butler Street (M.P. 7.263).",SR 40 ,2003,Lake ,7.189,3,1,1,,2003,12,Lake ,411613-1A,12127,3,1,2,SR 40- 0.204 Mi. E CR-445 A,2003,October,6700,AADT,72 Hour Classification Count,110503,FL,6700,AADT,2006,1,2003,5,4,1,Growth rate (4.8%) was taken from CFRPM II mode,12,2006,7400,-0.1045
SR 492 Resurfacing Project from SR 25/200 M.P. 0.000 to SR 40 M.P. 3.757,SR 492,2003,Marion,3.757,4,1,3,,2003,12,Marion,411614-1,12083,3,1,1,SR 492 1.495 MI W of SR 40,2003,February,19600,AADT,72 Hour Classification Count,360479,FL,20300,AADT,2005,1,2003,5,5,1,Conservative model growth rate from Ocala Area Transportation Study (OATS) was used,12,2005,22000,-0.0837
SR 492 Resurfacing Project from SR 25/200 M.P. 0.000 to SR 40 M.P. 3.758,SR 492,2003,Marion,3.757,4,1,3,,2003,12,Marion,411614-1,12083,3,1,2,SR 492 0.192 MI W of SR 40,2003,February,8700,AADT,72 Hour Classification Count,360480,FL,9000,AADT,2005,1,2003,5,5,1,Conservative model growth rate from Ocala Area Transportation Study (OATS) was used,12,2005,9400,-0.0444
Resurfacing of SR 40 in several location,SR 40 ,2002,Marion,2.147,3,1,1,,2002,12,Marion,411660-1,12083,3,1,1,East of NE 118th Ave. to west of NE 10th St. Rd. (MP 11.965 to MP 14.112),2002,January,14100,AADT,72 Hour Classification Count,361012,FL,14600,AADT,2003,1,2002,5,4,1,Ocala Area Transportation Study (OATS) Florida Standard Urban Transportation Model System (FSUTMS) gives a growth rate of 3.84%,12,2003,13700,0.0616
Resurfacing of SR 40 in several location,SR 40 ,2002,Marion,8.679,3,1,1,,2002,12,Marion,411661-1,12083,3,1,1,East of NE 145th Ave. to east of FR 97/FR 597 (MP 15.149 to MP 23.828),2002,February,6500,AADT,72 Hour Classification Count,360245,FL,6700,AADT,2003,1,2002,5,4,1,Ocala Area Transportation Study (OATS) Florida Standard Urban Transportation Model System (FSUTMS) gives a growth rate of 3.84%,12,2003,5200,0.2239
Resurfacing of SR 40 in several location,SR 40 ,2002,Marion,8.378,3,1,1,,2002,12,Marion,411662-1,12083,3,1,1,East of FR 97/FR 597 to the Lake County Line (MP 23.828 to MP 32.206,2002,March,5000,AADT,72 Hour Classification Count,110502,FL,5200,AADT,2003,1,2002,5,4,1,Ocala Area Transportation Study (OATS) Florida Standard Urban Transportation Model System (FSUTMS) gives a growth rate of 3.84%,12,2003,4200,0.1923
"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",SR 528,2002,Brevard ,9.956,3,1,1,,2002,12,Brevard ,411664-1,12127,3,2,1,Orange County Line to SR 528/SR 407 merge,2002,April,30200,AADT,72 Hour Classification Count,700398,FL,32600,AADT,2004,1,2002,5,5,,Average of FSUTMS and Trend,12,2004,34000,-0.0429
"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",SR 528,2003,Brevard ,10.956,3,1,1,,2003,12,Brevard ,411664-1,12127,3,2,2,SR 528/SR 407 merge to SR 9 (I-95),2002,April,24800,AADT,72 Hour Classification Count,700399,FL,26800,AADT,2004,1,2002,5,5,,Average of FSUTMS and Trend,12,2004,29500,-0.1007
"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",SR 528,2004,Brevard ,11.956,3,1,1,,2004,12,Brevard ,411664-1,12127,3,2,3,from SR 9 (I-95) to Cocoa City limit (MP 7.610),2002,April,20600,AADT,72 Hour Classification Count,700400,FL,22100,AADT,2004,1,2002,5,5,,Average of FSUTMS and Trend,12,2004,24000,-0.086
"SR 528 resurfacing project from Orange County Line (MP 0.000) to 0.433
miles east of SR 524 Bridge (MP 9.956).",SR 528,2005,Brevard ,12.956,3,1,3,,2005,12,Brevard ,411664-1,12127,3,2,4,Cocoa City limit (MP 7.610) to 0.433 Mi East of SR 524 (MP 9.956),2002,April,20100,AADT,72 Hour Classification Count,700400,FL,21500,AADT,2004,1,2002,5,5,,Average of FSUTMS and Trend,12,2004,24000,-0.1163
"SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",SR 5 R,2007,Brevard ,3.223,3,1,3,,2007,12,Brevard ,418647-1,12127,3,1,1,SR 5 – 0.200 Mi S of South St/SR 405 (M.P. 3.375),2007,June,25700,AADT,72 Hour Classification Count,705197,FL,26600,AADT,2010,1,2007,5,4,1,CFRPM IV Growth rate of 1.14% was used,12,2010,14500,0.4549
"SR 5 Resurfacing Project from Grace Street (M.P. 3.087) to Lagrange Line (M.P.
6.310)",SR 5 R,2007,Brevard ,3.223,3,1,3,,2007,12,Brevard ,411666-1,12127,3,1,1,SR 5 – 0.200 Mi SE of Lagrange Rd (M.P. 6.110),2007,June,19400,AADT,72 Hour Classification Count,700150,FL,20100,AADT,2010,1,2007,5,4,1,CFRPM IV Growth rate of 1.14% was used,12,2010,21000,-0.0448
SR 5 Resurfacing Project  from M.P. 0.000 to M.P. 1.775,SR 5 R,2002,Brevard ,1.775,3,1,3,,2002,12,Brevard ,411667-1,12127,3,1,1,SR 5- 1.0 Mi. North of SR 50,2002,October,38400,AADT,72 Hour Classification Count,700395,FL,40600,AADT,2005,1,2002,5,4,1,Brevard County Transportation Model as part of FSUTMS gives growth rate of 1.93%,12,2005,29500,0.2734
"resurfacing of S.R. 518 from C.R.
511 to S.R. 5 Milepost 0.000 and extends
east to Milepost 4.452",SR 518,2002,Brevard ,4.452,3,1,3,,2002,12,Brevard ,411672-1,12127,3,1,1,East of C.R. 511,2002,January,25400,AADT,72 Hour Classification Count,700408,FL,26500,AADT,2004,1,2002,5,4,1,FSUTMS projected growth rate of 2.17%,12,2004,24500,0.0755
"resurfacing of S.R. 518 from C.R.
511 to S.R. 5 Milepost 0.000 and extends
east to Milepost 4.453",SR 518,2002,Brevard ,4.452,3,1,3,,2002,12,Brevard ,411672-1,12127,3,1,2,West of C.R. 5054,2002,January,13400,AADT,72 Hour Classification Count,700421,FL,14000,AADT,2004,1,2002,5,4,1,FSUTMS projected growth rate of 2.17%,12,2004,0,1
"resurfacing of S.R. 518 from C.R.
511 to S.R. 5 Milepost 0.000 and extends
east to Milepost 4.454",SR 518,2002,Brevard ,4.452,3,1,3,,2002,12,Brevard ,411672-1,12127,3,1,3,West of S.R. 5,2002,January,23800,AADT,72 Hour Classification Count,700423,FL,24800,AADT,2004,1,2002,5,4,1,FSUTMS projected growth rate of 2.17%,12,2004,18100,0.2702
SR 526 resurfacing project from SR 500/OBT (M.P. 0.000) to Mills Avenue (M.P. 2.118).,SR 526,2003,Orange ,2.118,3,1,3,,2003,12,Orange ,411727-1,12127,3,1,1,SR 526- 0.374 Mi West of I-4,2003,January,5100,AADT,72 Hour Classification Count,755140,FL,5495,AADT,2005,1,2003,5,4,1,Orange County Model (FSUTMS) growth rate of 3.63%,12,2005,5100,0.0719
SR 526 resurfacing project from SR 500/OBT (M.P. 0.000) to Mills Avenue (M.P. 2.118).,SR 526,2003,Orange ,2.118,3,1,3,,2003,12,Orange ,411727-1,12127,3,1,2,SR 526- 0.029 Mi West of SR 15/Mills Ave,2003,January,14800,AADT,72 Hour Classification Count,755044,FL,15875,AADT,2005,1,2003,5,4,1,Orange County Model (FSUTMS) growth rate of 3.63%,12,2005,0,1
SR 535 Resurfacing Project International Drive (M.P. 0.630) and end at I-4 (M.P. 2.314).,SR 535,2002,Orange ,1.684,3,1,3,,2002,12,Orange ,411728-1,12127,3,1,1,,2002,June,45000,AADT,72 Hour Classification Count,750630,FL,49400,AADT,2005,1,2002,5,5,1,Average growth rate from traffic count trend and Orlando Urban Area Transportation Structure (OUATS) as part of FSUTMS of 3.37% was used,12,2005,43500,0.1194
SR 50 Resurfacing Project Lowell Boulevard (M.P. 3.832) and end at SR 436/Semoran Boulevard (M.P. 5.208).,SR 50 ,2002,Orange ,1.376,3,1,3,,2002,12,Orange ,411730-1,12127,3,1,1,0.85 Mi. W of SR 436,2002,June,66000,AADT,72 Hour Classification Count,750444,FL,67900,AADT,2006,1,2002,5,4,1,OUATS model growth rate of 0.73% was used,12,2006,58500,0.1384
SR 15 Resurfacing Project on SR 15 from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,SR 15 ,2007,Seminole ,6.458,3,1,3,,2007,12,Seminole ,411742-1,12127,3,1,1,SR 15 – 1.200 Mi SE of Monroe Rd (M.P. 16.007),2007,May,13100,AADT,72 Hour Classification Count,770064,FL,13400,AADT,2009,1,2007,5,5,1,Trend analysis and Model predicte growth rate were not used.,12,2009,12800,0.0448
SR 15 Resurfacing Project on SR 15 from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,SR 15 ,2007,Seminole ,6.458,3,1,3,,2007,12,Seminole ,411742-1,12127,3,1,2,SR 15 – 0.200 Mi S of SR 46 (M.P. 13.170),2007,June,26000,AADT,72 Hour Classification Count,775051,FL,26500,AADT,2009,1,2007,5,5,1,Trend analysis and Model predicte growth rate were not used.,12,2009,21000,0.2075
SR 15 Resurfacing Project on SR 15 from Airport Boulevard (M.P. 10.471) to SR 400 (M.P. 16.929).,SR 15 ,2007,Seminole ,6.458,3,1,3,,2007,12,Seminole ,411742-1,12127,3,1,3,SR 15 – 0.200 Mi N of SR 417 (M.P. 10.625),2007,July,36100,AADT,72 Hour Classification Count,770102,FL,36800,AADT,2009,1,2007,5,5,1,Trend analysis and Model predicte growth rate were not used.,12,2009,37436,-0.0173
Resurfacing Project for SR 5/US 1 from SR 600/International Speedway Boulevard (M.P. 0.000) to Woodland Avenue (M.P. 5.868),SR 5/U,2002,Volusia ,5.868,3,1,3,,2002,12,Volusia ,411777-1,12127,3,1,2,North of Division Avenue (M.P. 4.911),2002,October,30100,AADT,72 Hour Classification Count,795142,FL,31300,AADT,2006,1,2002,5,4,1,FSUTMS projected growth rate of 1.29%,12,2006,27000,0.1374
Resurfacing of SR 600 (US 92) from SR 15/600 (US17/92) from MP 0.000 to MO 2.736,SR 600,2002,Volusia ,2.736,3,1,3,,2002,12,Volusia ,411778-1,12127,3,1,1,"S.R. 600, east of S.R. 15/600",2002,September,26700,AADT,72 Hour Classification Count,791001,FL,28400,AADT,2005,1,2002,5,4,1,FSUTMS projected growth rate of 2.08%,12,2005,28500,-0.0035
"The SR A1A Resurfacing Project on SR A1A from SR 5/Ridgewood Avenue (M.P. 0.000) to Davis Street (M.P.
6.542)",SR A1A,2006,Volusia ,6.542,3,1,3,,2006,12,Volusia ,411781-1,12127,3,1,1,SR A1A – East of US 1,2006,October,8200,AADT,72 Hour Classification Count,795179,FL,8700,AADT,2009,1,2006,5,4,1,CFRPM IV Growth rate of 1.93% was used,12,2009,11800,-0.3563
"The SR A1A Resurfacing Project on SR A1A from SR 5/Ridgewood Avenue (M.P. 0.000) to Davis Street (M.P.
6.542)",SR A1A,,Volusia ,6.542,3,1,3,,0,12,Volusia ,411781-1,12127,3,1,2,SR A1A – Dunlawton Avenue to US 92,2006,October,12500,AADT,72 Hour Classification Count,790436,FL,13200,AADT,2009,1,2006,5,4,1,CFRPM IV Growth rate of 1.93% was used,12,2009,11400,0.1364
Resurfacing Project for SR 60Polk County Line (M.P. 0.000) and end 1.3 miles west of 3 Lake Wildlife (M.P. 1.229).,SR 60P,2002,Osceola,1.229,3,1,1,,2002,12,Osceola,411783-1,12097,3,1,1,SR 60- 0.13 Mi. W of SR 15,2002,March,6700,AADT,72 Hour Classification Count,920058,FL,6900,AADT,2005,1,2002,5,5,1,Average growth rate from traffic count trend and Orlando Urban Area Transportation Structure (OUATS) as part of FSUTMS of 1.84% was used,12,2005,7300,-0.058
"The Interstate 4 Westbound On Ramp Resurfacing ProjectI-4 Westbound On Ramp and Westbound
Mainline, from M.P. 0.126 to M.P. 0.150.",I-4,2002,Orange ,0.024,1,1,,,2002,12,Orange ,411787-1,12127,3,1,2,I-4 WB Mainline,2002,December,63100,AADT,72 Hour Classification Count,750587,FL,67400,AADT,2004,1,2002,5,5,1,Average growth rate from traffic count trend and Orlando Urban Area Transportation Structure (OUATS) as part of FSUTMS of 1.84% was used,12,2004,151500,-1.2478
SR 9 Resurfacing Project SR 9 Resurfacing Project,SR 9 R,2003,Volusia ,20.756,3,1,1,,2003,12,Volusia ,411809-1,12127,3,1,1,SR 9- 1.0 Mi South of SR 442,2003,November,27300,AADT,72 Hour Classification Count,790503,FL,29800,AADT,2006,1,2003,5,5,1,Average growth rate from CFRPM II and traffic trend analysis (3.09%) was used,12,2006,28500,0.0436
SR 9 Resurfacing Project SR 9 Resurfacing Project,SR 9 R,2003,Volusia ,20.756,3,1,1,,2003,12,Volusia ,411809-1,12127,3,1,2,SR 9- 1.0 Mi South of SR 44,2003,November,29400,AADT,72 Hour Classification Count,790503,FL,32100,AADT,2006,1,2003,5,5,1,Average growth rate from CFRPM II and traffic trend analysis (3.09%) was used,12,2006,28500,0.1121
SR 9 Resurfacing Project SR 9 Resurfacing Project,SR 9 R,2003,Volusia ,20.756,3,1,1,,2003,12,Volusia ,411809-1,12127,3,1,3,SR 9- 1.0 Mi North of SR 44,2003,November,34700,AADT,72 Hour Classification Count,790133,FL,37900,AADT,2006,1,2003,5,5,1,Average growth rate from CFRPM II and traffic trend analysis (3.09%) was used,12,2006,40355,-0.0648
SR 9 Resurfacing Project SR 9 Resurfacing Project,SR 9 R,2003,Volusia ,20.756,3,1,1,,2003,12,Volusia ,411809-1,12127,3,1,4,SR 9- 2.0 Mi South of I-4,2003,November,43900,AADT,72 Hour Classification Count,790492,FL,48000,AADT,2006,1,2003,5,5,1,Average growth rate from CFRPM II and traffic trend analysis (3.09%) was used,12,2006,49500,-0.0313
SR 19 Resurfacing Project rom M.P. 11.256 to M.P. 12.716,SR 19 ,2002,Lake ,1.46,4,1,3,,2002,12,Lake ,411981-1,12127,3,1,1,SR 19,2002,October,17000,AADT,72 Hour Classification Count,110208,FL,19160,AADT,2005,1,2002,5,4,1,FSUTMS model growth rate of 3.18% was used,12,2005,16000,0.1649
The SR 25 (US 441) Resurfacing Project from M.P. 0.000 to M.P. 8.419.,SR 25 ,2003,Marion ,8.419,4,1,3,,2003,12,Marion ,411983-1,12127,3,1,1,M.P. 0.000 to M.P. 2.054,2003,February,20000,AADT,72 Hour Classification Count,360481,FL,21000,AADT,2005,1,2003,5,1,1,Higher one between Model Growth rate and growth rate from trend analysis (2.41%) was used,12,2005,22000,-0.0476
The SR 25 (US 441) Resurfacing Project from M.P. 0.000 to M.P. 8.419.,SR 25 ,2003,Marion ,8.419,3,1,1,,2003,12,Marion ,411983-1,12127,3,1,2,M.P. 2.055 to M.P. 8.419,2003,February,22100,AADT,72 Hour Classification Count,360443,FL,23200,AADT,2005,1,2003,5,1,1,Higher one between Model Growth rate and growth rate from trend analysis (2.41%) was used,12,2005,28500,-0.2284
"SR A1A Resurfacing Project on SR A1A from Riverview Boulevard (M.P. 2.691) to 0.128 mile north of SR
40 (M.P. 6.790)",SR A1A,2006,Volusia ,4.099,3,1,3,,2006,12,Volusia ,411985-1,12127,3,1,1,SR A1A,2006,October,12800,AADT,72 Hour Classification Count,795121,FL,13300,AADT,2009,1,2006,5,4,1,CFRPM IV Model growth rate of 1.42%,12,2009,18500,-0.391
"The US 441 major intersection Add Lanes & Reconstruct Project The first segment is on SR 500 from
Perkins Street, M.P. 0.000 to north of Griffin Road at M.P. 0.564. The second segment is on US 27
from south of Shelfer Street M.P. 4.277 to SR 500 M.P. 4.436.",SR 500,2002,Lake ,0.723,3,4,3,,2002,12,Lake ,238394-2,12127,3,1,1A,"SR 500 from Perkins Street, M.P. 0.000 to north of Griffin Road at M.P. 0.564",2002,November,24900,AADT,72 Hour Classification Count,115097,FL,31500,AADT,2010,1,2002,5,4,1,Lake county FSUTMS model growth rate of 3.33% was used,12,2010,25000,0.2063
"The US 441 major intersection Add Lanes & Reconstruct Project The first segment is on SR 500 from
Perkins Street, M.P. 0.000 to north of Griffin Road at M.P. 0.564. The second segment is on US 27
from south of Shelfer Street M.P. 4.277 to SR 500 M.P. 4.436.",SR 500,2002,Lake ,0.723,3,4,3,,2002,12,Lake ,238394-2,12127,3,1,1B,"SR 500 from Perkins Street, M.P. 0.000 to north of Griffin Road at M.P. 0.565",2002,December,38000,AADT,72 Hour Classification Count,110109,FL,48100,AADT,2010,1,2002,5,4,1,Lake county FSUTMS model growth rate of 3.33% was used,12,2010,42500,0.1164
